sSCENARIO,dGAMMAI,dBETAI,dRHOIX
SCEN_143,2.0,0.0,0.0
SCEN_144,2.0,0.0,0.5
SCEN_145,2.0,0.0,1.0
SCEN_146,2.0,0.5,-1.0
SCEN_147,2.0,0.5,-0.5
SCEN_148,2.0,0.5,0.0
SCEN_149,2.0,0.5,0.5
SCEN_150,2.0,0.5,1.0
SCEN_151,2.0,1.0,-1.0
SCEN_152,2.0,1.0,-0.5
SCEN_153,2.0,1.0,0.0
SCEN_154,2.0,1.0,0.5
SCEN_155,2.0,1.0,1.0
SCEN_156,2.0,1.5,-1.0
SCEN_157,2.0,1.5,-0.5
SCEN_158,2.0,1.5,0.0
SCEN_159,2.0,1.5,0.5
SCEN_160,2.0,1.5,1.0
SCEN_161,2.0,2.0,-1.0
SCEN_162,2.0,2.0,-0.5
SCEN_163,2.0,2.0,0.0
SCEN_164,2.0,2.0,0.5
SCEN_165,2.0,2.0,1.0
SCEN_166,2.0,2.5,-1.0
SCEN_167,2.0,2.5,-0.5
SCEN_168,2.0,2.5,0.0
SCEN_169,2.0,2.5,0.5
SCEN_170,2.0,2.5,1.0
SCEN_171,2.0,3.0,-1.0
SCEN_172,2.0,3.0,-0.5
SCEN_173,2.0,3.0,0.0
SCEN_174,2.0,3.0,0.5
SCEN_175,2.0,3.0,1.0
SCEN_176,2.5,0.0,-1.0
SCEN_177,2.5,0.0,-0.5
SCEN_178,2.5,0.0,0.0
SCEN_179,2.5,0.0,0.5
SCEN_180,2.5,0.0,1.0
SCEN_181,2.5,0.5,-1.0
SCEN_182,2.5,0.5,-0.5
SCEN_183,2.5,0.5,0.0
SCEN_184,2.5,0.5,0.5
SCEN_185,2.5,0.5,1.0
SCEN_186,2.5,1.0,-1.0
SCEN_187,2.5,1.0,-0.5
SCEN_188,2.5,1.0,0.0
SCEN_189,2.5,1.0,0.5
SCEN_190,2.5,1.0,1.0
SCEN_191,2.5,1.5,-1.0
SCEN_192,2.5,1.5,-0.5
SCEN_193,2.5,1.5,0.0
SCEN_194,2.5,1.5,0.5
SCEN_195,2.5,1.5,1.0
SCEN_196,2.5,2.0,-1.0
SCEN_197,2.5,2.0,-0.5
SCEN_198,2.5,2.0,0.0
SCEN_199,2.5,2.0,0.5
SCEN_200,2.5,2.0,1.0
SCEN_201,2.5,2.5,-1.0
SCEN_202,2.5,2.5,-0.5
SCEN_203,2.5,2.5,0.0
SCEN_204,2.5,2.5,0.5
SCEN_205,2.5,2.5,1.0
SCEN_206,2.5,3.0,-1.0
SCEN_207,2.5,3.0,-0.5
SCEN_208,2.5,3.0,0.0
SCEN_209,2.5,3.0,0.5
SCEN_210,2.5,3.0,1.0
SCEN_211,3.0,0.0,-1.0
SCEN_212,3.0,0.0,-0.5
SCEN_213,3.0,0.0,0.0
SCEN_214,3.0,0.0,0.5
SCEN_215,3.0,0.0,1.0
SCEN_216,3.0,0.5,-1.0
SCEN_217,3.0,0.5,-0.5
SCEN_218,3.0,0.5,0.0
SCEN_219,3.0,0.5,0.5
SCEN_220,3.0,0.5,1.0
